geracao,avaliacoes,hipervolume,solucoes_unicas
1,24,0.10611911745045481,3
2,48,0.11419526734403253,5
3,72,0.11544632123190084,3
4,96,0.1242372128911289,6
5,120,0.12802055618626934,8
6,144,0.13173602443243973,8
7,168,0.13213902251807771,9
8,192,0.13390635764440778,4
9,216,0.13668959486143945,5
10,240,0.13705436485210204,3
11,264,0.14131925983023305,4
12,288,0.14135985610669094,5
13,312,0.14223972095323195,5
14,336,0.14619809878307324,6
15,360,0.14645202864351348,4
