solucao,numero_atributos,reducao_atributos_pct,f1_cross_medio,NF-UNSW-NB15-v2->NF-ToN-IoT-v2,NF-UNSW-NB15-v2->NF-CSE-CIC-IDS2018-v2,NF-ToN-IoT-v2->NF-UNSW-NB15-v2,NF-ToN-IoT-v2->NF-CSE-CIC-IDS2018-v2,NF-CSE-CIC-IDS2018-v2->NF-UNSW-NB15-v2,NF-CSE-CIC-IDS2018-v2->NF-ToN-IoT-v2,atributos
S1,7,81.08108108108108,0.04645997970412766,0.04943709795104776,0.019453368389967928,0.03358066360983727,0.06128685530048226,0.07891929970156958,0.03608259327186119,"IN_BYTES, OUT_BYTES, RETRANSMITTED_OUT_BYTES, TCP_WIN_MAX_IN, ICMP_TYPE, ICMP_IPV4_TYPE, DNS_QUERY_ID"
S2,8,78.37837837837837,0.0584658648021664,0.02322619406424653,0.08491317646018577,0.07900757193874218,0.04975468178171574,0.08574573539802371,0.02814782917008452,"OUT_BYTES, TCP_FLAGS, RETRANSMITTED_OUT_BYTES, RETRANSMITTED_OUT_PKTS, TCP_WIN_MAX_IN, ICMP_TYPE, ICMP_IPV4_TYPE, DNS_QUERY_ID"
S3,11,70.27027027027026,0.05852620885979876,0.02407919220244,0.08600657386683916,0.03851989500907056,0.049345735423355075,0.12763276529887116,0.02557309135821666,"OUT_BYTES, TCP_FLAGS, DST_TO_SRC_SECOND_BYTES, RETRANSMITTED_OUT_BYTES, RETRANSMITTED_OUT_PKTS, DST_TO_SRC_AVG_THROUGHPUT, TCP_WIN_MAX_IN, TCP_WIN_MAX_OUT, ICMP_TYPE, ICMP_IPV4_TYPE, DNS_QUERY_ID"
S4,12,67.56756756756756,0.06161467863552505,0.06891945222268392,0.09628096718496608,0.05507020947443359,0.031116057258725602,0.08517241899318935,0.03312896667915171,"IN_PKTS, OUT_BYTES, TCP_FLAGS, RETRANSMITTED_OUT_BYTES, RETRANSMITTED_OUT_PKTS, DST_TO_SRC_AVG_THROUGHPUT, TCP_WIN_MAX_IN, TCP_WIN_MAX_OUT, ICMP_TYPE, ICMP_IPV4_TYPE, DNS_QUERY_ID, DNS_TTL_ANSWER"
