geracao,avaliacoes,hipervolume,solucoes_unicas
1,24,0.10028237603341619,1
2,48,0.11161940480816225,4
3,72,0.12486190838217101,3
4,96,0.1333718626126327,5
5,120,0.13487857301813364,4
6,144,0.14944774448376547,5
7,168,0.14971338456303152,7
8,192,0.15095551799462248,6
9,216,0.15123332283665164,7
10,240,0.15758145385642708,5
11,264,0.16278217659899077,3
12,288,0.16278551828378368,4
13,312,0.1667733247644733,5
14,336,0.16705276329086058,5
15,360,0.17042816205155173,1
